power,selfprotection,average_earth_discharge_density_ddt_rayskm2ao,burning_rate__failuresyear,criticality_according_to_previous_study_for_ceramics_level,removable_connectors,number_of_users,km_of_network_lt,power_per_user,lightning_risk_score,network_density,historical_risk_index,type_of_clients_COMMERCIAL,type_of_clients_INDUSTRIAL,type_of_clients_OFFICIAL,type_of_clients_STRATUM 1,type_of_clients_STRATUM 2,type_of_clients_STRATUM 3,type_of_clients_STRATUM 4,type_of_clients_STRATUM 5,type_of_clients_STRATUM 6,type_of_installation_CABINA,type_of_installation_EN H,type_of_installation_MACRO WITHOUT ANTI-FRAUD NET,type_of_installation_OTROS,type_of_installation_PAD MOUNTED,type_of_installation_POLE,type_of_installation_POLE WITH ANTI-FRAUD NET,type_of_installation_TORRE METALICA
30.0,0,3.1556016597510377,0.0,0,1,1,0.0,15.0,6.311203319502075,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
50.0,0,3.1556016597510377,0.0,0,1,95,0.23925,0.5208333333333334,6.311203319502075,0.004691176470588235,0.0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
37.5,0,3.1556016597510377,0.0,0,0,105,12841.0,0.35377358490566035,6.311203319502075,333.53246753246754,0.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
75.0,0,3.1556016597510377,0.0,0,1,29,0.17751,2.5,6.311203319502075,0.002335657894736842,0.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
37.5,0,3.1556016597510377,0.25,1,1,60,0.5438,0.6147540983606558,6.311203319502075,0.014124675324675323,0.25,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
10.0,0,3.1556016597510377,0.25,1,1,13,0.42621,0.7142857142857143,6.311203319502075,0.038746363636363634,0.25,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
112.5,0,3.1556016597510377,0.0,0,1,149,0.53538,0.75,6.311203319502075,0.004717004405286343,0.0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
30.0,0,3.1556016597510377,0.0,0,1,10,0.4123,2.727272727272727,6.311203319502075,0.0133,0.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
75.0,0,3.1556016597510377,0.0,0,1,37,0.14939,1.9736842105263157,6.311203319502075,0.001965657894736842,0.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
30.0,0,3.1556016597510377,0.0,0,1,13,0.3261,2.142857142857143,6.311203319502075,0.010519354838709678,0.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
75.0,0,3.1556016597510377,0.0,0,1,33,0.15994,2.2058823529411766,6.311203319502075,0.0021044736842105263,0.0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
50.0,0,3.1556016597510377,0.0,0,1,58,0.0,0.847457627118644,6.311203319502075,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
45.0,0,3.1556016597510377,0.0,0,1,23,0.6257,1.875,6.311203319502075,0.01360217391304348,0.0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
150.0,0,3.1556016597510377,0.0,0,1,1,0.0,75.0,6.311203319502075,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
30.0,0,3.1556016597510377,0.0,0,1,10,0.25931,2.727272727272727,6.311203319502075,0.008364838709677419,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
75.0,0,3.1556016597510377,0.25,0,1,19,0.7262,3.75,6.311203319502075,0.009555263157894737,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
45.0,0,3.1556016597510377,0.0,0,1,24,0.12668,1.8,6.311203319502075,0.0027539130434782607,0.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
45.0,0,3.1556016597510377,0.0,0,1,21,0.18672,2.0454545454545454,6.311203319502075,0.0040591304347826086,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
25.0,0,3.1556016597510377,0.0,0,1,3,0.0,6.25,6.311203319502075,0.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
112.5,0,3.1556016597510377,0.25,0,1,106,0.4242,1.0514018691588785,6.311203319502075,0.003737444933920705,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
112.5,0,3.1556016597510377,0.5,0,1,40,0.1838,2.7439024390243905,6.311203319502075,0.0016193832599118942,0.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
