Source_ID,H2,CH4,C2H6,C2H4,C2H2,Type,Source,Fault_Type,R1,R2,R4,R5
2,137.67518248175182,8.939618644067796,1.978962381886254,-0.1263241525423729,0.12444444444444444,PD,dataset1,3,-0.6006905642659731,0.8369421991591162,-0.20316430605624441,-0.19449546828508746
5,33.806569343065696,4.99364406779661,0.29417008379390264,-0.13691737288135594,0.10222222222222221,PD,dataset1,3,-0.5653400992110996,0.9798449104828801,-0.3054774329906838,-0.18301350335838126
6,131.23722627737226,24.638771186440678,4.697807095738991,-0.14221398305084745,0.1688888888888889,PD,dataset1,3,-0.5513136436657028,1.6943584671016998,-0.23446464181714227,-0.19840389353249874
7,120.32481751824818,3.0021186440677963,0.27634159386699947,-0.15810381355932204,-0.05333333333333333,PD,dataset1,3,-0.6166424442235022,-0.020474068783467598,-0.26420962474944093,-0.19409719567999867
8,146.72627737226279,5.385593220338983,9.208415047245497,-0.16340042372881355,-0.03111111111111111,PD,dataset1,3,-0.612080276741713,0.8369421991591162,0.8452456968802482,-0.19977112159041951
9,97.48540145985402,96.87394067796609,18.577286503833125,-0.025688559322033903,-0.05333333333333333,PD,dataset1,3,-0.22750348693521785,-0.020474068783467598,-0.2377774594810159,-0.19776698136478463
10,0.0036496350364963502,-0.17055084745762714,-0.1426279194152255,-0.09984110169491525,0.5688888888888889,D1,dataset1,0,-0.4777638893497873,1.8262686621697897,0.29961205612320624,0.0
11,0.8321167883211679,0.2531779661016949,0.05348546978070957,0.6840572033898304,11.96888888888889,D1,dataset1,0,-0.4360097786725675,2.860657614178879,0.02777195521601171,0.6254242971911069
12,-0.15328467153284672,-0.2447033898305085,-0.21394187912283827,-0.030985169491525428,10.657777777777778,D1,dataset1,0,-0.5274197023165111,15.874704436921355,0.2378302150079347,1.2662278803787164
13,1.7007299270072993,0.3591101694915254,0.12479942948832233,2.0082097457627115,41.724444444444444,D1,dataset1,0,-0.49845775310759044,3.9015273514891784,0.04218771814290838,1.4959168915622554
14,4.208029197080292,0.586864406779661,0.0,1.0654131355932204,15.324444444444445,D1,dataset1,0,-0.5501542550362424,2.5260154480245496,-0.17531215809418743,1.2599622453431043
15,2.072992700729927,0.17902542372881353,-0.12479942948832233,0.4139300847457627,6.9911111111111115,D1,dataset1,0,-0.5496792046809047,2.45044372156016,-0.1932058857962849,1.2315259017199411
16,-0.06204379562043796,-0.2235169491525424,-0.20502763415938668,-0.147510593220339,0.035555555555555556,D1,dataset1,0,-0.5302021401120605,0.8369421991591162,0.11426653277739178,-0.030758571993005267
18,24.791970802919707,5.16843220338983,0.46354073809948293,4.5982521186440675,122.1688888888889,D1,dataset1,0,-0.5401533041057494,5.219292013087878,-0.28503166991702816,1.7273468942654155
19,36.551094890510946,28.319915254237287,4.483865216616152,34.25926906779661,834.7244444444444,D1,dataset1,0,-0.3149933143023272,4.934732408949326,-0.25869026767249304,1.8748220155359145
20,2.091240875912409,0.15254237288135591,1.274737029773578,0.10143008474576269,5.946666666666667,D1,dataset1,0,-0.5547732061835255,4.518788526206682,2.21332365313822,-0.14917907416607548
21,0.4854014598540146,-0.15995762711864409,-0.1871991442324835,-0.13691737288135594,0.10222222222222221,D1,dataset1,0,-0.5663738314541998,0.9798449104828801,-0.042996335516026565,-0.030758571993005267
22,1.1240875912408759,0.04131355932203388,-0.16937065430558032,0.11202330508474574,3.48,D1,dataset1,0,-0.5365258623746721,2.5517747350442836,-0.21523661983738943,0.9208347490405948
23,15.156934306569344,3.3781779661016946,-0.1961133891959351,0.8694385593220338,26.168888888888887,D1,dataset1,0,-0.5322741682576821,5.141521830054537,-0.37103430612807403,6.431617403737399
24,27.456204379562045,6.238347457627118,2.594045284364414,4.25926906779661,34.61333333333333,D1,dataset1,0,-0.5330211889312352,1.5794893020184828,-0.06053087135362021,0.24481115004495688
25,1.8905109489051095,0.14724576271186438,-0.1604564093421287,0.30270127118644063,5.368888888888889,D1,dataset1,0,-0.5490245134348931,2.3301952500703575,-0.24097905363541922,1.4729938365539184
26,0.15693430656934307,-0.1440677966101695,-0.23177036904974146,-0.1263241525423729,0.8355555555555556,D1,dataset1,0,-0.505855809401005,4.266607270929452,-0.33056272325256286,1.153446449737697
28,23.273722627737225,11.974576271186441,0.83793902656445,11.266684322033898,142.88,D1,dataset1,0,-0.4181803494712949,2.533903622465582,-0.3153483104988843,2.8186036880862995
29,7.664233576642336,5.279661016949152,1.604564093421287,2.161811440677966,15.613333333333333,D1,dataset1,0,-0.3460333876317389,1.3533406332608995,-0.13615900432664474,0.1596622493066867
30,6.251824817518248,2.7955508474576267,2.620788019254769,1.6109639830508473,13.702222222222222,D1,dataset1,0,-0.438257338097125,1.5591112581702804,0.30387287275184566,-0.022853331527513277
31,4.572992700729927,-0.2235169491525424,-0.062399714744161165,0.18087923728813557,3.991111111111111,D1,dataset1,0,-0.6231941401212042,2.343916245846082,2.0912854484660786,0.3583373637185112
32,-0.2664233576642336,-0.2711864406779661,-0.22285612408628988,-0.1316207627118644,1.1022222222222222,D1,dataset1,0,-0.48150947868994964,6.348903921647155,2.0912854484660786,0.39217179291081705
33,6.653284671532846,1.2330508474576272,0.03565697985380638,4.900158898305084,171.72444444444446,D1,dataset1,0,-0.5399406723964826,6.905155765277319,-0.2455855944203298,5.022577142857825
34,-0.072992700729927,-0.14936440677966104,-0.22285612408628988,-0.025688559322033903,0.6133333333333334,D1,dataset1,0,-0.38156138419193286,0.9322106733749588,-0.2770184609526609,2.083893252526106
