power,selfprotection,average_earth_discharge_density_ddt_rayskm2ao,burning_rate__failuresyear,criticality_according_to_previous_study_for_ceramics_level,removable_connectors,number_of_users,km_of_network_lt,power_per_user,lightning_risk_score,network_density,historical_risk_index,type_of_clients_COMMERCIAL,type_of_clients_INDUSTRIAL,type_of_clients_OFFICIAL,type_of_clients_STRATUM 1,type_of_clients_STRATUM 2,type_of_clients_STRATUM 3,type_of_clients_STRATUM 4,type_of_clients_STRATUM 5,type_of_clients_STRATUM 6,type_of_installation_CABINA,type_of_installation_EN H,type_of_installation_MACRO WITHOUT ANTI-FRAUD NET,type_of_installation_OTROS,type_of_installation_PAD MOUNTED,type_of_installation_POLE,type_of_installation_POLE WITH ANTI-FRAUD NET,type_of_installation_TORRE METALICA,target
2.390358688112683,0,0.5299771705653277,-0.4697767424334218,0,1,2.1953429850585495,-0.5732457970854586,-0.13136144373060676,0.6377452522846383,-0.4994577229132892,-0.23060671593389653,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
-0.4844407148228945,0,0.5299771705653277,-0.4697767424334218,0,1,-0.7299941784201043,-0.5732461137268371,0.2615982733073869,0.6377452522846383,-0.4994532926777195,-0.23060671593389653,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
-0.06373836317378563,0,0.5299771705653277,-0.4697767424334218,0,1,1.5662382187190544,-0.5732461601476067,-0.21898694385172254,0.6377452522846383,-0.4994561703535424,-0.23060671593389653,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1.3386028089899107,0,0.5299771705653277,-0.4697767424334218,0,1,0.1822077327721642,-0.5732484907152758,-0.004163137103180593,0.6377452522846383,-0.49945793970815633,-0.23060671593389653,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1.3386028089899107,0,0.5299771705653277,-0.4697767424334218,0,1,-0.0065236971296844465,-0.5732479421061808,0.05563318023919712,0.6377452522846383,-0.4994578436431486,-0.23060671593389653,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
0.07649575404258399,0,0.5299771705653277,-0.4697767424334218,0,1,0.21366297108913898,-0.5732475915681113,-0.1567683219873736,0.6377452522846383,-0.4994571185803342,-0.23060671593389653,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
2.390358688112683,0,0.5299771705653277,-0.4697767424334218,0,1,3.6422839476393896,-0.5732407125818114,-0.171147533936948,0.6377452522846383,-0.4994571267454928,-0.23060671593389653,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
0.49719810569169287,0,0.5299771705653277,1.7928490819991836,0,1,0.7169467841607354,-0.5732483765011243,-0.1567683219873736,0.6377452522846383,-0.4994577111721043,-0.23060671593389653,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1.3386028089899107,0,0.5299771705653277,-0.4697767424334218,0,1,1.2202305972323317,-0.5732454955546533,-0.13263178764344508,0.6377452522846383,-0.49945741523612164,-0.23060671593389653,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1.3386028089899107,0,0.5299771705653277,-0.4697767424334218,0,1,0.6854915458437606,-0.5732475372517271,-0.08898060851080847,0.6377452522846383,-0.4994577727505101,-0.23060671593389653,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
